PID,ArrivalTime,InstructionCount
0,1,199
1,1,3
2,1,3
3,3,2
4,4,4
5,5,1
6,6,5
7,6,1
8,6,5
9,8,4
10,9,5
11,9,5
12,11,1
13,11,3
14,12,4
15,13,5
16,17,5
17,19,3
18,19,1
19,19,3
20,20,2
21,20,1
22,22,4
23,23,1
24,23,1
25,26,2
26,28,2
27,28,3
28,29,4
29,29,5
30,30,1
31,32,4
32,33,4
33,34,1
34,35,5
35,35,2
36,38,5
37,39,2
38,43,4
39,44,3
40,44,1
41,45,1
42,46,3
43,48,5
44,54,4
45,54,5
46,54,4
47,55,3
48,57,2
49,58,3
50,60,1
51,61,5
52,62,4
53,66,5
54,67,5
55,69,3
56,74,5
57,74,1
58,75,2
59,75,4
60,76,2
61,77,2
62,77,1
63,77,2
64,78,5
65,78,1
66,78,3
67,79,1
68,79,5
69,80,3
70,80,5
71,82,5
72,82,2
73,84,4
74,92,3
75,92,5
76,94,4
77,94,1
78,94,3
79,95,1
80,96,2
81,96,1
82,101,4
83,101,4
84,102,5
85,102,1
86,102,4
87,107,3
88,111,3
89,111,4
90,113,3
91,115,2
92,118,3
93,121,4
94,122,1
95,125,1
96,125,4
97,126,1
98,129,2
99,129,2
100,129,4
101,133,2
102,137,3
103,139,3
104,142,2
105,143,1
106,144,4
107,148,1
108,148,5
109,148,4
110,150,3
111,150,2
112,151,2
113,152,4
114,153,5
115,153,1
116,155,5
117,157,3
118,158,2
119,159,2
120,159,3
121,160,3
122,160,1
123,160,2
124,163,4
125,163,2
126,166,5
127,167,2
128,168,3
129,168,5
130,169,5
131,170,2
132,173,1
133,173,2
134,174,5
135,177,3
136,177,4
137,180,4
138,181,5
139,182,5
140,182,5
141,185,3
142,188,4
143,190,1
144,191,2
145,195,4
146,195,5
147,196,4
148,196,4
149,197,3
150,199,5
151,200,2
152,202,1
153,202,1
154,203,5
155,203,3
156,205,2
157,206,3
158,208,4
159,209,5
160,210,2
161,211,1
162,213,4
163,216,5
164,219,2
165,220,1
166,220,1
167,227,5
168,228,2
169,229,1
170,229,4
171,232,5
172,236,5
173,239,5
174,240,3
175,245,2
176,247,3
177,249,1
178,250,3
179,250,5
180,252,1
181,253,2
182,255,3
183,256,1
184,258,4
185,259,3
186,261,3
187,264,4
188,265,3
189,266,3
190,267,4
